event_id,basin_id,basin_name,event_type,start_date,end_date,duration_months,peak_intensity,mean_intensity,total_intensity,lag_month,from_event_type,to_event_type,start_year,start_month,end_year,end_month
EVT00137,hanjiang,汉江流域,drought,2002-10-01,2002-10-01,1,1.632355044516729,1.632355044516729,1.632355044516729,,,,2002,10,2002,10
EVT00138,hanjiang,汉江流域,flood_or_wet,2002-12-01,2003-05-01,6,3.6056220779343624,2.158456974143462,12.950741844860772,,,,2002,12,2003,5
EVT00139,hanjiang,汉江流域,flood_or_wet,2003-07-01,2003-08-01,2,2.4690661187026564,1.8691735997176249,3.7383471994352497,,,,2003,7,2003,8
EVT00140,hanjiang,汉江流域,flood_or_wet,2003-11-01,2004-01-01,3,1.8806747624947098,1.6063562868558758,4.8190688605676275,,,,2003,11,2004,1
EVT00141,hanjiang,汉江流域,drought,2004-04-01,2004-04-01,1,3.144184733605261,3.144184733605261,3.144184733605261,,,,2004,4,2004,4
EVT00142,hanjiang,汉江流域,FTD,2004-08-01,2004-10-01,3,3.3256892694744224,3.3256892694744224,3.3256892694744224,2,flood_or_wet,drought,2004,8,2004,10
EVT00143,hanjiang,汉江流域,flood_or_wet,2004-08-01,2004-08-01,1,1.446346793568324,1.446346793568324,1.446346793568324,,,,2004,8,2004,8
EVT00144,hanjiang,汉江流域,DTF,2004-10-01,2004-12-01,3,3.9525115341786288,3.9525115341786288,3.9525115341786288,2,drought,flood_or_wet,2004,10,2004,12
EVT00145,hanjiang,汉江流域,drought,2004-10-01,2004-10-01,1,1.8793424759060984,1.8793424759060984,1.8793424759060984,,,,2004,10,2004,10
EVT00146,hanjiang,汉江流域,flood_or_wet,2004-12-01,2004-12-01,1,2.0731690582725304,2.0731690582725304,2.0731690582725304,,,,2004,12,2004,12
EVT00147,hanjiang,汉江流域,flood_or_wet,2005-07-01,2005-08-01,2,3.1977760145287633,2.6825725041876565,5.365145008375313,,,,2005,7,2005,8
EVT00148,hanjiang,汉江流域,DTF,2005-12-01,2006-02-01,3,4.759653463173644,4.759653463173644,4.759653463173644,2,drought,flood_or_wet,2005,12,2006,2
EVT00149,hanjiang,汉江流域,drought,2005-12-01,2005-12-01,1,2.5241572750342836,2.5241572750342836,2.5241572750342836,,,,2005,12,2005,12
EVT00150,hanjiang,汉江流域,FTD,2006-02-01,2006-03-01,2,4.732950671864094,4.732950671864094,4.732950671864094,1,flood_or_wet,drought,2006,2,2006,3
EVT00151,hanjiang,汉江流域,flood_or_wet,2006-02-01,2006-02-01,1,2.2354961881393596,2.2354961881393596,2.2354961881393596,,,,2006,2,2006,2
