basin_name,year,drought_months,flood_months,dtf_count,ftd_count,mean_drought_intensity,mean_flood_intensity,max_drought_intensity,max_flood_intensity
洞庭湖流域,2015,1,7,1,1,1.7217370145126039,2.2363203836441263,1.7217370145126039,3.819378615571472
洞庭湖流域,2016,0,3,0,0,0.0,2.8790446371846126,0.0,4.184603197768042
洞庭湖流域,2017,1,2,1,0,1.3476351492760914,3.8712866614359687,1.3476351492760914,4.975140886202282
洞庭湖流域,2018,2,4,1,0,2.1502031948654294,2.1162597247259987,2.391988935740865,2.5804928153879443
洞庭湖流域,2019,2,5,0,2,2.3976407785061404,2.062269757868787,2.567466043401591,2.9201804877283246
洞庭湖流域,2020,2,6,0,4,2.1558193218895356,2.626568307693621,2.2263551225553724,4.004757082815621
洞庭湖流域,2021,2,3,1,2,2.8610392547491266,2.033408582093496,2.8820949321978913,3.189826100125358
洞庭湖流域,2022,4,2,0,0,3.8625001516118336,3.0167096607349135,4.94468418494429,3.2859418244104943
洞庭湖流域,2023,3,0,0,0,2.3866500715792553,0.0,2.910380773545781,0.0
鄱阳湖流域,2001,2,4,1,2,2.102402079452254,1.901085902611224,2.362570979510433,3.1019457338812835
鄱阳湖流域,2002,1,4,1,0,1.7635226399051376,3.0034296871045147,1.7635226399051376,5.144553499055044
鄱阳湖流域,2003,4,0,0,0,3.1701035983566817,0.0,5.018752358566016,0.0
鄱阳湖流域,2004,5,0,1,0,2.3627510347002048,0.0,3.3282714001862246,0.0
鄱阳湖流域,2005,2,2,1,1,1.59438101359595,2.8712550404410244,1.6301414573786275,2.966574685217431
鄱阳湖流域,2006,0,0,0,0,0.0,0.0,0.0,0.0
鄱阳湖流域,2007,5,0,0,0,2.6931018148935655,0.0,3.9008447578442658,0.0
鄱阳湖流域,2008,3,0,0,0,2.447743387670928,0.0,3.015540063052289,0.0
鄱阳湖流域,2009,5,0,0,0,2.815687783859616,0.0,3.2597102900578716,0.0
鄱阳湖流域,2010,2,4,0,1,1.8928848092767168,2.242801469829831,2.646583905748039,3.0265826815202463
鄱阳湖流域,2011,4,1,0,0,3.3398083795526468,1.4710806206275509,5.175827761104468,1.4710806206275509
鄱阳湖流域,2012,0,6,0,0,0.0,2.0381267820820264,0.0,2.8036402396125477
鄱阳湖流域,2013,2,0,0,0,1.9241094156253715,0.0,2.21728667397504,0.0
鄱阳湖流域,2014,2,4,1,1,2.113687598124681,2.231097087972743,2.6468514488190262,2.719057954240097
鄱阳湖流域,2015,2,7,2,1,1.9894880445744076,2.7241291155202982,2.2112985489258206,4.4023854428005365
鄱阳湖流域,2016,0,7,0,0,0.0,2.722349969937429,0.0,4.434721552456787
鄱阳湖流域,2017,2,3,2,1,1.9625949415806552,3.081806383698897,2.217628274187624,4.794591464917177
鄱阳湖流域,2018,2,1,0,0,2.4056466174471334,2.4544991299915067,2.485667195737805,2.4544991299915067
鄱阳湖流域,2019,5,3,2,1,2.9857507207023573,2.9687490267919814,3.7915283711965806,3.8747810213000156
鄱阳湖流域,2020,2,5,0,3,2.1961909469609466,2.2121364646718384,2.3149592524228733,3.0923171440823563
鄱阳湖流域,2021,2,2,0,0,2.4244365345192254,2.8006112590763466,3.6412701774096288,2.8602520232170825
鄱阳湖流域,2022,3,2,0,1,4.059691443527842,2.1899580101289793,4.643288874926947,2.6344426108412344
鄱阳湖流域,2023,1,2,0,0,3.228333898239314,1.536524220588716,3.228333898239314,1.5494598761319422
